X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.634267368420613E-5,5.559777959831818,0.1531336998594216
2.0,2.0,train,1.5947576878486488E-4,13.549326930036239,0.32937462963797726
3.0,3.0,train,7.072704167328145E-5,5.96532604202857,0.16238514055455422
4.0,4.0,train,9.445403386301469E-5,8.152633881767775,0.21072588361397115
5.0,5.0,train,4.097821811745912E-4,53.831262504952875,0.6417961053090435
6.0,6.0,train,4.936954874857491E-4,63.965385445401544,0.7097132840397256
7.0,7.0,train,2.4556457815352E-4,24.0351393900664,0.45948251317731326
8.0,8.0,train,3.2602867118874403E-4,39.27985353784937,0.5581655488427261
9.0,9.0,train,2.67033096494003E-4,27.507905444933552,0.4877869926626598
10.0,10.0,train,3.6275944435179737E-4,46.15902355361568,0.5970101543396725
11.0,11.0,train,3.85178588345822E-4,49.952956163810725,0.6190213709764344
12.0,12.0,train,2.2044600708472775E-4,20.535937822593365,0.42437401625170634
13.0,13.0,train,2.6250831466724024E-4,26.51342217313178,0.4819473970185255
14.0,14.0,train,2.7163781373500405E-4,28.441409905721713,0.4936621761898593
15.0,15.0,train,2.25940733510308E-4,21.18999460998447,0.4322439514949509
16.0,16.0,train,6.212625620459893E-4,71.74344758387994,0.7891246198901015
17.0,17.0,train,6.341578492159155E-4,72.40069696408534,0.7958285720007051
18.0,18.0,train,6.690558709217055E-4,74.15981258351032,0.8129216002815147
19.0,19.0,train,9.805480903683567E-5,8.448122303474474,0.21781410013826807
20.0,20.0,train,4.103792490236842E-4,54.03389831021042,0.6423315317092207
21.0,21.0,train,0.0010033015541383728,83.41732234956842,0.9190265621641619
22.0,22.0,train,4.5293974412323804E-4,59.77169073667214,0.6785065976445277
23.0,23.0,train,0.0018142363083810938,93.05320951567805,0.9893832213976163
24.0,24.0,train,1.2100348387385545E-4,10.321442007503567,0.26151729236543997
25.0,25.0,train,1.0522633240831871E-4,9.051443244362853,0.23174234123660198
26.0,26.0,train,0.010837406161070717,100.0,0.999999999998385
27.0,27.0,train,0.0026351836948343317,96.28765608219825,0.9986424727761678
28.0,28.0,train,0.002974939758898236,96.58514661189122,0.999420475465939
29.0,29.0,train,5.765528949835755E-4,68.75414184679066,0.7641298911297046
30.0,30.0,train,0.0010925266739927266,85.35341722142674,0.9352470083781956
31.0,31.0,train,3.064056982327875E-4,35.519736699801776,0.5359009831133283
32.0,32.0,train,7.043165404979019E-4,75.66634957035745,0.828739289375707
33.0,33.0,train,3.6289449814454433E-4,46.183365329462085,0.5971464863981228
34.0,34.0,train,0.0016426448147620445,91.82107988803277,0.9836809272215179
35.0,35.0,train,9.915814328685822E-4,82.79485752503135,0.9166136751369791
36.0,36.0,train,2.488688838571782E-4,24.53580190683995,0.46393870763907297
37.0,37.0,train,3.800116214883605E-4,48.78754001573366,0.6140574952914339
38.0,38.0,train,4.2755132778552005E-4,56.48410921673812,0.6573929345672265
39.0,39.0,train,4.067881651598154E-4,53.38235853573265,0.639099081015556
