x,y,species cloglog values
1.0,1.0,5.2982065E-5
2.0,2.0,0.03268934
3.0,3.0,0.023003941
4.0,4.0,6.61281E-5
5.0,5.0,5.422242E-5
6.0,6.0,1.7529726E-6
7.0,7.0,0.024897743
8.0,8.0,7.814696E-4
9.0,9.0,4.221002E-5
10.0,10.0,0.50949377
11.0,11.0,0.7019943
12.0,12.0,0.19138311
13.0,13.0,0.035834216
14.0,14.0,5.8557116E-4
15.0,15.0,0.14054923
16.0,16.0,0.020183485
17.0,17.0,0.014993267
18.0,18.0,0.044748858
19.0,19.0,1.8578512E-4
20.0,20.0,0.09292064
21.0,21.0,1.1390843E-5
22.0,22.0,2.0462816E-4
23.0,23.0,0.27293587
24.0,24.0,0.008393252
25.0,25.0,9.362959E-6
26.0,26.0,1.1486894E-6
27.0,27.0,6.0772427E-6
28.0,28.0,2.1201736E-6
29.0,29.0,4.5509115E-8
30.0,30.0,0.17627676
31.0,31.0,0.015337535
32.0,32.0,0.010914421
33.0,33.0,1.0645753E-5
34.0,34.0,1.191394E-5
35.0,35.0,5.2613956E-7
36.0,36.0,0.44155407
37.0,37.0,0.12617561
38.0,38.0,7.387029E-4
39.0,39.0,8.003532E-5
40.0,40.0,8.175936E-6
41.0,41.0,0.1363257
42.0,42.0,0.10975294
43.0,43.0,7.727221E-6
44.0,44.0,1.1042557E-5
45.0,45.0,2.8627744E-4
46.0,46.0,6.7821826E-4
47.0,47.0,0.7634576
48.0,48.0,5.6613487E-4
49.0,49.0,0.101413
50.0,50.0,0.65301996
51.0,51.0,2.7928004E-4
52.0,52.0,0.62683284
53.0,53.0,0.021459175
54.0,54.0,0.12844989
55.0,55.0,0.32854852
56.0,56.0,0.22318773
57.0,57.0,1.6543489E-5
58.0,58.0,0.045423936
59.0,59.0,2.064077E-5
60.0,60.0,8.088546E-6
61.0,61.0,7.268544E-8
62.0,62.0,0.031665646
63.0,63.0,0.0011724846
64.0,64.0,0.1514151
65.0,65.0,2.1753276E-7
66.0,66.0,0.68466294
67.0,67.0,0.09433618
68.0,68.0,0.014828893
69.0,69.0,3.4990471E-6
70.0,70.0,2.121242E-5
71.0,71.0,3.2921627E-5
72.0,72.0,4.515929E-5
73.0,73.0,0.07103509
74.0,74.0,0.49397442
75.0,75.0,0.9743428
76.0,76.0,0.14304584
77.0,77.0,0.52975124
78.0,78.0,2.9178009E-5
79.0,79.0,3.2710961E-6
80.0,80.0,9.466076E-4
81.0,81.0,0.6477675
82.0,82.0,2.1374259E-4
83.0,83.0,4.877047E-6
84.0,84.0,9.138713E-6
85.0,85.0,0.06813266
86.0,86.0,0.48988125
87.0,87.0,2.6524023E-5
88.0,88.0,0.6504355
89.0,89.0,0.4037108
90.0,90.0,0.687177
91.0,91.0,2.1227443E-6
92.0,92.0,0.03824486
93.0,93.0,2.7002252E-6
94.0,94.0,0.031572506
95.0,95.0,0.012751962
96.0,96.0,0.006191407
97.0,97.0,1.5282262E-6
98.0,98.0,1.4536789E-6
99.0,99.0,2.04592E-6
100.0,100.0,0.016719855
101.0,101.0,7.5342127E-6
102.0,102.0,2.9590308E-5
103.0,103.0,8.9834887E-4
104.0,104.0,0.6339203
105.0,105.0,0.088188045
106.0,106.0,0.45829484
107.0,107.0,0.01050269
108.0,108.0,0.92874277
109.0,109.0,0.4950677
110.0,110.0,0.99996245
111.0,111.0,0.0666198
112.0,112.0,0.0029926833
113.0,113.0,0.16532831
114.0,114.0,0.14890592
115.0,115.0,0.49753034
116.0,116.0,0.3196938
117.0,117.0,0.008929369
118.0,118.0,1.3853743E-5
119.0,119.0,0.5939198
120.0,120.0,0.5054075
121.0,121.0,3.2453562E-7
122.0,122.0,0.11378623
123.0,123.0,2.4422878E-5
124.0,124.0,1.744422E-5
125.0,125.0,0.55490434
126.0,126.0,2.7627468E-5
127.0,127.0,1.8681005E-5
128.0,128.0,0.20406947
129.0,129.0,3.3925704E-7
130.0,130.0,0.16110833
131.0,131.0,0.7755719
132.0,132.0,0.5005394
133.0,133.0,0.009312683
134.0,134.0,2.2664628E-5
135.0,135.0,0.16447718
136.0,136.0,1.1173429E-7
137.0,137.0,3.941336E-6
138.0,138.0,0.45143825
139.0,139.0,0.046230596
140.0,140.0,0.91307825
141.0,141.0,0.016444208
142.0,142.0,0.4165649
143.0,143.0,0.1298073
144.0,144.0,0.1016336
145.0,145.0,0.34395882
146.0,146.0,0.0055466625
147.0,147.0,0.45292318
148.0,148.0,9.898206E-4
149.0,149.0,0.67817384
150.0,150.0,0.44442064
151.0,151.0,0.013260888
152.0,152.0,9.258902E-6
153.0,153.0,0.16864157
154.0,154.0,0.5115624
155.0,155.0,3.6120178E-7
156.0,156.0,3.38126E-5
157.0,157.0,0.0155892
158.0,158.0,2.461028E-7
159.0,159.0,0.24862266
160.0,160.0,0.13809991
161.0,161.0,0.6270688
162.0,162.0,0.002259835
163.0,163.0,4.151144E-6
164.0,164.0,3.1435772E-4
165.0,165.0,0.009934199
166.0,166.0,0.040807363
167.0,167.0,0.6937153
168.0,168.0,0.24168918
169.0,169.0,0.65248626
170.0,170.0,3.8228012E-5
171.0,171.0,0.009744228
172.0,172.0,0.38049337
173.0,173.0,0.037435196
174.0,174.0,0.43327087
175.0,175.0,0.28043917
176.0,176.0,0.48336354
177.0,177.0,0.27512205
178.0,178.0,0.012513294
179.0,179.0,0.0788517
180.0,180.0,1.7780515E-4
181.0,181.0,9.674477E-7
182.0,182.0,1.2467574E-7
183.0,183.0,0.6201373
184.0,184.0,0.6368017
185.0,185.0,0.010480077
186.0,186.0,0.59948164
187.0,187.0,6.0558148E-5
188.0,188.0,0.050514556
189.0,189.0,0.002984825
190.0,190.0,0.4819511
191.0,191.0,2.1138885E-6
192.0,192.0,0.04200062
193.0,193.0,0.0042854594
194.0,194.0,6.6240063E-6
195.0,195.0,0.017230678
196.0,196.0,1.0743754E-5
197.0,197.0,0.15270238
198.0,198.0,2.2671127E-5
199.0,199.0,0.084463924
200.0,200.0,6.954904E-8
201.0,201.0,0.0065187174
202.0,202.0,2.3835042E-4
203.0,203.0,0.12025428
204.0,204.0,0.52843076
205.0,205.0,0.3996422
206.0,206.0,9.53449E-8
207.0,207.0,0.027985856
208.0,208.0,0.4239573
209.0,209.0,0.075029105
210.0,210.0,3.8351723E-6
211.0,211.0,0.69948876
212.0,212.0,0.0015761235
213.0,213.0,0.3967586
214.0,214.0,0.018842086
215.0,215.0,6.951238E-6
216.0,216.0,0.14301719
217.0,217.0,1.0544939E-4
218.0,218.0,0.20610411
219.0,219.0,0.06858064
220.0,220.0,0.002681389
221.0,221.0,7.784041E-9
222.0,222.0,0.0022484923
223.0,223.0,0.004061786
224.0,224.0,1.7020492E-4
225.0,225.0,1.8888077E-4
226.0,226.0,0.00770729
227.0,227.0,0.3731331
228.0,228.0,4.9544915E-6
229.0,229.0,0.5715947
230.0,230.0,4.239791E-7
231.0,231.0,0.03838573
232.0,232.0,0.077007264
233.0,233.0,7.431791E-6
234.0,234.0,0.9971022
235.0,235.0,0.28591412
236.0,236.0,0.027495949
237.0,237.0,0.003133748
238.0,238.0,0.036908835
239.0,239.0,0.019726338
240.0,240.0,3.589173E-8
241.0,241.0,0.2791202
242.0,242.0,0.054573566
243.0,243.0,2.432059E-5
244.0,244.0,0.2174259
245.0,245.0,0.54072034
246.0,246.0,0.009198994
247.0,247.0,1.2093807E-4
248.0,248.0,0.17326227
249.0,249.0,0.6886531
250.0,250.0,9.0907235E-4
251.0,251.0,4.7188378E-6
252.0,252.0,0.03426511
253.0,253.0,1.3959206E-4
254.0,254.0,0.6911332
255.0,255.0,0.018426802
256.0,256.0,0.36512884
257.0,257.0,0.002163783
258.0,258.0,0.060491767
259.0,259.0,0.114382125
260.0,260.0,0.018227011
261.0,261.0,0.50931835
262.0,262.0,0.028086826
263.0,263.0,1.1787728E-6
264.0,264.0,1.060563E-5
265.0,265.0,2.7328486E-8
266.0,266.0,0.6372663
267.0,267.0,2.2731418E-5
268.0,268.0,0.054108076
269.0,269.0,2.0722113E-5
270.0,270.0,0.52502084
271.0,271.0,5.3502973E-8
272.0,272.0,0.04001839
273.0,273.0,0.7073874
